,payment_type,payment_type_id,payment_type_name
782,1,782,Credit card
783,2,783,Cash
784,1,784,Credit card
785,2,785,Cash
786,2,786,Cash
787,1,787,Credit card
788,1,788,Credit card
789,1,789,Credit card
790,1,790,Credit card
791,2,791,Cash
792,1,792,Credit card
793,2,793,Cash
794,1,794,Credit card
795,1,795,Credit card
796,1,796,Credit card
797,1,797,Credit card
798,1,798,Credit card
799,1,799,Credit card
800,1,800,Credit card
801,1,801,Credit card
802,1,802,Credit card
803,1,803,Credit card
804,2,804,Cash
805,2,805,Cash
806,1,806,Credit card
807,1,807,Credit card
808,1,808,Credit card
809,1,809,Credit card
810,2,810,Cash
811,1,811,Credit card
812,2,812,Cash
813,1,813,Credit card
814,1,814,Credit card
815,2,815,Cash
816,2,816,Cash
817,2,817,Cash
818,1,818,Credit card
819,1,819,Credit card
820,1,820,Credit card
821,1,821,Credit card
822,2,822,Cash
823,1,823,Credit card
824,2,824,Cash
825,1,825,Credit card
826,2,826,Cash
827,1,827,Credit card
828,1,828,Credit card
829,1,829,Credit card
830,1,830,Credit card
831,1,831,Credit card
832,2,832,Cash
833,1,833,Credit card
834,1,834,Credit card
835,2,835,Cash
836,1,836,Credit card
837,1,837,Credit card
838,2,838,Cash
839,2,839,Cash
840,2,840,Cash
841,1,841,Credit card
842,2,842,Cash
843,1,843,Credit card
844,2,844,Cash
845,1,845,Credit card
846,1,846,Credit card
847,2,847,Cash
848,1,848,Credit card
849,1,849,Credit card
850,2,850,Cash
851,2,851,Cash
852,1,852,Credit card
853,1,853,Credit card
854,1,854,Credit card
855,1,855,Credit card
856,1,856,Credit card
857,2,857,Cash
858,1,858,Credit card
859,1,859,Credit card
860,2,860,Cash
861,1,861,Credit card
862,1,862,Credit card
863,1,863,Credit card
864,1,864,Credit card
865,1,865,Credit card
866,1,866,Credit card
867,2,867,Cash
868,1,868,Credit card
869,2,869,Cash
870,2,870,Cash
871,2,871,Cash
872,2,872,Cash
873,1,873,Credit card
874,1,874,Credit card
875,1,875,Credit card
876,1,876,Credit card
877,1,877,Credit card
878,1,878,Credit card
879,1,879,Credit card
880,1,880,Credit card
881,1,881,Credit card
882,1,882,Credit card
883,1,883,Credit card
884,1,884,Credit card
885,2,885,Cash
886,1,886,Credit card
887,1,887,Credit card
888,2,888,Cash
889,1,889,Credit card
890,1,890,Credit card
891,1,891,Credit card
892,1,892,Credit card
893,2,893,Cash
894,1,894,Credit card
895,1,895,Credit card
896,2,896,Cash
897,2,897,Cash
898,1,898,Credit card
899,2,899,Cash
900,1,900,Credit card
901,1,901,Credit card
902,1,902,Credit card
903,1,903,Credit card
904,1,904,Credit card
905,1,905,Credit card
906,1,906,Credit card
907,1,907,Credit card
908,1,908,Credit card
909,1,909,Credit card
910,1,910,Credit card
911,1,911,Credit card
912,1,912,Credit card
913,1,913,Credit card
914,2,914,Cash
915,2,915,Cash
916,2,916,Cash
917,1,917,Credit card
918,2,918,Cash
919,1,919,Credit card
920,1,920,Credit card
921,1,921,Credit card
922,1,922,Credit card
923,1,923,Credit card
924,1,924,Credit card
925,2,925,Cash
926,1,926,Credit card
927,1,927,Credit card
928,1,928,Credit card
929,2,929,Cash
930,1,930,Credit card
931,1,931,Credit card
932,1,932,Credit card
933,1,933,Credit card
934,1,934,Credit card
935,1,935,Credit card
936,1,936,Credit card
937,1,937,Credit card
938,2,938,Cash
939,1,939,Credit card
940,1,940,Credit card
941,1,941,Credit card
942,1,942,Credit card
943,2,943,Cash
944,2,944,Cash
945,1,945,Credit card
946,2,946,Cash
947,2,947,Cash
948,2,948,Cash
949,1,949,Credit card
950,2,950,Cash
951,1,951,Credit card
952,2,952,Cash
953,2,953,Cash
954,1,954,Credit card
955,2,955,Cash
956,1,956,Credit card
957,1,957,Credit card
958,2,958,Cash
959,1,959,Credit card
960,1,960,Credit card
961,1,961,Credit card
962,1,962,Credit card
963,1,963,Credit card
964,1,964,Credit card
965,1,965,Credit card
966,1,966,Credit card
967,1,967,Credit card
968,1,968,Credit card
969,1,969,Credit card
970,1,970,Credit card
971,1,971,Credit card
972,1,972,Credit card
973,1,973,Credit card
974,1,974,Credit card
975,2,975,Cash
976,1,976,Credit card
977,1,977,Credit card
978,1,978,Credit card
979,1,979,Credit card
980,1,980,Credit card
981,1,981,Credit card
982,1,982,Credit card
983,2,983,Cash
984,2,984,Cash
985,1,985,Credit card
986,1,986,Credit card
987,2,987,Cash
988,2,988,Cash
989,1,989,Credit card
990,1,990,Credit card
991,2,991,Cash
992,1,992,Credit card
993,2,993,Cash
994,1,994,Credit card
995,1,995,Credit card
996,1,996,Credit card
997,1,997,Credit card
998,1,998,Credit card
999,1,999,Credit card
1000,1,1000,Credit card
1001,1,1001,Credit card
1002,1,1002,Credit card
1003,1,1003,Credit card
1004,1,1004,Credit card
1005,1,1005,Credit card
1006,1,1006,Credit card
1007,2,1007,Cash
1008,1,1008,Credit card
1009,2,1009,Cash
1010,1,1010,Credit card
1011,1,1011,Credit card
1012,2,1012,Cash
1013,2,1013,Cash
1014,1,1014,Credit card
1015,2,1015,Cash
1016,2,1016,Cash
1017,1,1017,Credit card
1018,1,1018,Credit card
1019,2,1019,Cash
1020,1,1020,Credit card
1021,2,1021,Cash
1022,1,1022,Credit card
1023,1,1023,Credit card
1024,2,1024,Cash
1025,2,1025,Cash
1026,2,1026,Cash
1027,2,1027,Cash
1028,2,1028,Cash
1029,1,1029,Credit card
1030,1,1030,Credit card
1031,1,1031,Credit card
1032,1,1032,Credit card
1033,1,1033,Credit card
1034,1,1034,Credit card
1035,2,1035,Cash
1036,1,1036,Credit card
1037,1,1037,Credit card
1038,1,1038,Credit card
1039,1,1039,Credit card
1040,2,1040,Cash
1041,1,1041,Credit card
1042,1,1042,Credit card
1043,1,1043,Credit card
1044,1,1044,Credit card
1045,1,1045,Credit card
1046,1,1046,Credit card
